sl_no,project_id,project_code,legacy_ocms_code,pmgid,project_name,agency,ministry,sector,state,approval_date,start_date,target_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,cost_growth_pct,expenditure_ratio_pct,cost_overrun_cr,schedule_extension_months,is_cost_escalated,is_schedule_extended,provenance
54,PAI-400155,400155,N06000247,3098,EPR ASHOK OC,,Ministry of Coal,Coal,Jharkhand,05/2021,05/2021,03/2031,,2898.28,2898.28,185.19,28.85,0.0,6.39,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
55,PAI-400156,400156,N06000217,3091,EPR AMRAPALI OCP,,Ministry of Coal,Coal,Jharkhand,02/2020,02/2020,03/2028,,5136.15,5136.15,1326.01,44.45,0.0,25.82,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
56,PAI-400160,400160,N06000087,3084,RAJRAPPA RCE OCP,,Ministry of Coal,Coal,Jharkhand,12/2009,12/2009,03/2016,03/2027,510.85,510.85,488.71,78.25,0.0,95.67,0.0,132.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.450918'}"
57,PAI-400172,400172,N06000169,3032,CHITRA EAST OC,Eastern Coal Fields Limited [ECL],Ministry of Coal,Coal,Jharkhand,08/2018,08/2018,03/2026,03/2028,513.99,513.99,239.88,53.03,0.0,46.67,0.0,24.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.451918'}"
58,PAI-400352,400352,N06000240,778,JHARKHAND-LAIYO OCP,,Ministry of Coal,Coal,Jharkhand,08/2020,08/2020,03/2031,,764.57,764.57,145.81,32.23,0.0,19.07,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.451918'}"
59,PAI-400425,400425,N06000098,189,MOONIDIH XV SEAM UG,Bharat Coking Coal Limited (BCCL,Ministry of Coal,Coal,Jharkhand,08/2011,08/2011,03/2019,08/2026,1230.27,1230.27,709.81,82.45,0.0,57.7,0.0,89.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.451918'}"
60,PAI-611017,611017,N06000194,4836,2.5 MTPA PATHERDIH NLW WASHERY,,Ministry of Coal,Coal,Jharkhand,10/2015,04/2016,04/2018,12/2026,334.27,334.27,162.75,51.81,0.0,48.69,0.0,104.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.451918'}"
61,PAI-611864,611864,N06000273,5366,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,Bharat Coking Coal Limited (BCCL,Ministry of Coal,Coal,Jharkhand,01/2023,01/2023,03/2030,,4011.85,4011.85,414.93,29.7,0.0,10.34,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.451918'}"
62,PAI-613808,613808,N06000096,,MURAIDIH UG PROJECT,Bharat Coking Coal Limited (BCCL,Ministry of Coal,Coal,Jharkhand,02/2011,02/2011,04/2014,12/2026,339.87,339.87,191.0,70.47,0.0,56.2,0.0,152.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.451918'}"
63,PAI-615349,615349,N06000241,,TAPIN SOUTH EXPN,,Ministry of Coal,Coal,Jharkhand,11/2020,11/2020,03/2028,,230.41,230.41,22.02,22.76,0.0,9.56,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.451918'}"
64,PAI-615822,615822,N06000239,,SIRKA OC,,Ministry of Coal,Coal,Jharkhand,05/2020,05/2020,03/2028,,222.82,222.82,140.72,63.52,0.0,63.15,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.451918'}"
65,PAI-615843,615843,N06000186,,TETARIAKHAR OC,,Ministry of Coal,Coal,Jharkhand,11/2019,11/2019,03/2025,03/2027,243.52,243.52,50.82,31.27,0.0,20.87,0.0,24.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
66,PAI-616225,616225,N06000280,6880,CHUPERBHITA SIMLONG OCP MDO 6,Eastern Coal Fields Limited [ECL],Ministry of Coal,Coal,Jharkhand,12/2023,12/2023,03/2037,,979.08,979.08,0.0,0.05,0.0,0.0,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
67,PAI-616236,616236,N06000295,,JARANGDIH EXPN. OCP 1.5 MTY,CCL - CIL,Ministry of Coal,Coal,Jharkhand,02/2020,02/2020,03/2029,,414.37,414.37,85.6,34.18,0.0,20.66,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
68,PAI-616253,616253,N06000287,7368,BLOCK E OCP,,Ministry of Coal,Coal,Jharkhand,03/2024,03/2024,03/2029,,5850.83,5850.83,20.32,4.17,0.0,0.35,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
69,PAI-617416,617416,,9943,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.",Bharat Coking Coal Limited [BCCL],Ministry of Coal,Coal,Jharkhand,06/2025,07/2025,12/2028,,5940.47,5940.47,262.83,26.0,0.0,4.42,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
70,PAI-617764,617764,,9968,North Dhadu Western Part OCP,NLC India Limited [NLCIL],Ministry of Coal,Coal,Jharkhand,10/2023,12/2023,03/2029,,1354.2,1354.2,141.98,40.0,0.0,10.48,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
71,PAI-400148,400148,N06000148,3111,AMADAND OCP[4.0MTY],,Ministry of Coal,Coal,Madhya Pradesh,03/2016,03/2016,03/2021,03/2027,869.44,869.44,325.4,75.15,0.0,37.43,0.0,72.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
72,PAI-400162,400162,N06000184,3059,BLOCK B EXPANSION [3.5 TO 8.0,Northern Coalfields Limited [NCL],Ministry of Coal,Coal,Madhya Pradesh,07/2019,07/2019,03/2023,03/2027,998.71,998.71,518.17,50.0,0.0,51.88,0.0,48.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
73,PAI-400321,400321,N06000196,943,NIGAHI EXPANSION [15 TO 25 MTP,Northern Coalfields Limited [NCL],Ministry of Coal,Coal,Madhya Pradesh,11/2020,11/2020,03/2025,03/2028,1729.68,1729.68,929.02,48.76,0.0,53.71,0.0,36.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
74,PAI-613802,613802,N06000125,,KANCHAN OC EXP,South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Madhya Pradesh,12/2014,12/2014,03/2026,03/2028,371.04,371.04,148.87,58.2,0.0,40.12,0.0,24.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
75,PAI-613803,613803,N06000166,,JHIRIA WEST OCP [1.5 MTY],South Eastern Coalfields Limited [SECL],Ministry of Coal,Coal,Madhya Pradesh,01/2024,01/2024,03/2029,,366.94,366.94,35.57,41.29,0.0,9.69,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
76,PAI-613804,613804,N06000250,,RPR TAWA-III UG 0.84 MTY,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Madhya Pradesh,12/2021,12/2021,03/2027,,314.09,314.09,17.89,17.78,0.0,5.7,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
77,PAI-615185,615185,N06000257,,AMALGAMATED DHANKASA & JAMUNIA,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Madhya Pradesh,09/2022,09/2022,03/2027,,399.2,399.2,100.03,67.13,0.0,25.06,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
78,PAI-615187,615187,N06000260,,RPR OF VISHNUPURI UG TO OC,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Madhya Pradesh,11/2022,11/2022,03/2029,,220.62,220.62,0.0,11.2,0.0,0.0,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
79,PAI-615194,615194,N06000265,,URDHAN EXPANSION OC COST PLUS,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Madhya Pradesh,07/2022,01/2023,03/2031,,206.88,206.88,27.32,2.02,0.0,13.21,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
80,PAI-615195,615195,N06000266,,SHARDA UG MINE,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Madhya Pradesh,07/2022,09/2023,03/2028,,166.25,166.25,5.19,9.39,0.0,3.12,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
81,PAI-615206,615206,N06000183,,GANDHIGRAM UG MINE,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Madhya Pradesh,08/2019,08/2019,03/2026,,414.15,414.15,22.11,56.88,0.0,5.34,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
82,PAI-619032,619032,,11593,JAYANT EXPN. [20 TO 38 MTPA],Northern Coalfields Limited [NCL],Ministry of Coal,Coal,Madhya Pradesh,02/2025,02/2025,03/2032,,25560.48,25560.5,126.68,1.32,0.0,0.5,0.02,0.0,True,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
83,PAI-619053,619053,,11612,RPR FOR RAMPUR BATURA OCP,SECL - CIL,Ministry of Coal,Coal,Madhya Pradesh,05/2025,05/2025,03/2030,,1604.69,1604.69,74.71,0.3,0.0,4.66,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
84,PAI-400033,400033,N06000254,4376,BHATADI EXPANSION OC,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,02/2020,05/2022,03/2028,,580.61,580.61,112.17,33.91,0.0,19.32,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
85,PAI-400177,400177,N06000132,3012,AMALGAMATED YEKONA I & YEKONA,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,08/2015,08/2015,03/2025,03/2026,727.28,727.28,563.25,80.77,0.0,77.45,0.0,12.0,False,True,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
86,PAI-400178,400178,N06000222,3008,DINESH[MAKARDHOKRA-III] OC,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,02/2020,02/2020,03/2027,,822.88,822.88,652.67,40.54,0.0,79.32,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.649312'}"
87,PAI-400353,400353,N06000209,776,DHUPTALA OC [SASTI UG TO OC ],Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,02/2019,10/2021,03/2028,,711.01,711.01,174.62,19.02,0.0,24.56,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.814456'}"
88,PAI-615184,615184,N06000251,,SAONER UG MINE -1 EXPANSION 1.,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,01/2022,01/2022,03/2028,,228.64,228.64,150.47,69.33,0.0,65.81,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.814456'}"
89,PAI-615186,615186,N06000206,,SASTI EXPANSION OPENCAST,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,08/2020,08/2020,03/2026,,319.04,319.04,111.17,32.21,0.0,34.85,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.814456'}"
90,PAI-615188,615188,N06000255,,NEW MAJRI UG TO OC 3 MTY COST,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,05/2019,09/2022,03/2027,,402.27,402.27,67.11,24.17,0.0,16.68,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.814456'}"
91,PAI-615189,615189,N06000253,,MAKARDHOKRA EXPN OC 4.9 MTY,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,06/2022,06/2022,03/2026,,361.87,361.87,96.64,12.2,0.0,26.71,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.814456'}"
92,PAI-615190,615190,N06000252,,SINGHORI DEEP OC MIN 2.0 MTY,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,05/2022,05/2022,03/2029,,335.75,335.75,49.75,9.57,0.0,14.82,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.814456'}"
93,PAI-615192,615192,N06000264,,GOKUL EXTENSION OC MINE,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,04/2021,04/2021,03/2026,,309.58,309.58,57.46,8.44,0.0,18.56,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.814456'}"
94,PAI-615199,615199,N06000267,,KOLGAON EXPANSION DEEP OC MINE,Western Coalfields Limited [WCL],Ministry of Coal,Coal,Maharashtra,01/2023,09/2023,03/2027,,198.71,198.71,23.54,2.82,0.0,11.85,0.0,0.0,False,False,"{'source_document': 'FlashReport_April2026.pdf', 'report_period': 'April 2026', 'source_table': 'Table 6 — All Ongoing Projects', 'reporting_authority': 'PAIMANA / MoSPI, Government of India', 'extracted_at': '2026-09-02T01:05:14.814456'}"
